,ContainerID,State,year,note,StateID
0,131,alaska,2014,,0
1,102,alabama,2017,,1
2,106,arkansas,2014,,2
3,200,arizona,2014,,3
4,204,california,2014,,4
5,110,colorado,2014,,5
6,192,delaware,2016,,6
7,213,florida,2014,,7
8,114,georgia,2014,,8
9,217,hawaii,2014,,9
10,118,iowa,2014,,10
11,196,idaho,2014,,11
12,92,illinois,2014,,12
13,221,indiana,2016,,13
14,230,kansas,2014,,14
15,183,kentucky,2015,,15
16,135,louisiana,2015,,16
17,238,massachusetts,2014,,17
18,234,maryland,2014,,18
19,139,maine,2014,,19
20,242,michigan,2014,,20
21,143,minnesota,2014,,21
22,147,missouri,2016,,22
23,246,mississippi,2015,,23
24,151,montana,2016,,24
25,159,north_carolina,2016,,25
26,262,north_dakota,2016,,26
27,250,nebraska,2014,,27
28,155,new_hampshire,2016,,28
29,127,new_jersey,2013,,29
30,187,new_mexico,2014,,30
31,254,nevada,2014,,31
32,266,ohio,2014,,32
33,179,oklahoma,2014,,33
34,163,oregon,2016,,34
35,270,pennsylvania,2014,,35
36,274,rhode_island,2014,,36
37,175,south_dakota,2014,,37
38,171,tennessee,2014,,38
39,122,texas,2014,,39
40,278,utah,2016,,40
41,286,virginia,2013,,41
42,282,vermont,2016,,42
43,290,washington,2016,,43
44,298,wisconsin,2014,,44
45,294,west_virginia,2016,,45
46,302,wyoming,2014,,46
47,208,connecticut,2014,x,47
48,258,new_york,2014,x,48
49,167,south_carolina,2017,x,49
